Date,Open,High,Low,Close,Adj Close,Volume
2020-02-02,8982.75,9038.25,8975,9029.5,9029.5,459823
2020-02-03,8982.75,9155.75,8975,9114.25,9114.25,898384
2020-02-04,9099,9369.25,9073,9355,9355,680726
2020-02-05,9357,9462.75,9317.75,9381.5,9381.5,563913
2020-02-06,9390,9464,9362.5,9455.5,9455.5,729548
2020-02-07,9467,9471,9385,9409.5,9409.5,545054
2020-02-09,9401.5,9424,9330.75,9353.25,9353.25,338030
2020-02-10,9401.5,9531.5,9330.75,9527.5,9527.5,592695
2020-02-11,9525,9609.5,9501.25,9527.25,9527.25,500147
2020-02-12,9536.25,9628.25,9523.75,9625.75,9625.75,589570
2020-02-13,9621.5,9644.75,9511.25,9613,9613,454472
2020-02-14,9626.25,9659.25,9588,9632.25,9632.25,613580
2020-02-16,9635,9668.75,9634.25,9663.75,9663.75,297278
2020-02-18,9635,9687.5,9534.25,9636,9636,489387
2020-02-19,9643.25,9748.75,9641.25,9733.5,9733.5,668505
2020-02-20,9744.75,9763,9517,9624.25,9624.25,419130
2020-02-21,9617.25,9623.75,9411.5,9458,9458,802424
2020-02-23,9355.25,9365,9289,9315,9315,995989
2020-02-24,9355.25,9365,9041.25,9091,9091,911839
2020-02-25,9091,9224.25,8810,8854.25,8854.25,1171879
2020-02-26,8868.25,9037.5,8709.5,8850.25,8850.25,1344897
2020-02-27,8811.5,8878.5,8374.5,8850.25,8850.25,1550066
2020-02-28,8347,8574.75,8126.25,8382.75,8382.75,1506884
2020-03-01,8347,8574.75,8126.25,8382.75,8382.75,1513887
2020-03-02,8349.25,8883.25,8224.25,8454,8454,1338786
2020-03-03,8830.5,9002.5,8511,8791.25,8791.25,1277458
2020-03-04,8557.5,8950,8508.25,8582.5,8582.5,924629
2020-03-05,8889,8899.75,8610.75,8896.5,8896.5,943408
2020-03-06,8677,8726.5,8310.5,8648.75,8648.75,1083638
2020-03-08,8677,8726.5,8310.5,8648.75,8648.75,1086560
2020-03-09,8369,8375,7819,8503.25,8503.25,545428
2020-03-10,7893.75,8378.75,7814.25,7951.5,7951.5,967814
2020-03-11,8317,8334.25,7892.75,8331.5,8331.5,976682
2020-03-12,7998.75,8108,7128.5,8003.5,8003.5,861265
2020-03-13,7100,7978,6942.5,7215.25,7215.25,570212
2020-03-15,7100,7978,6942.5,7215.25,7215.25,578813
2020-03-16,7919.75,7920,6906,7900.75,7900.75,416627
2020-03-17,7294.25,7551.25,6931.25,7182.75,7182.75,154561400
2020-03-18,7343.25,7380,6810,7392.25,7392.25,502686
2020-03-19,7234.25,7502.5,6874.25,7205.5,7205.5,509651
2020-03-20,7177,7629,6952,7273.5,7273.5,554317
2020-03-22,6798,6798,6628.75,6688.75,6688.75,321230
2020-03-23,6733.5,7316.25,6666,7085.25,7085.25,222847705
2020-03-24,7156.25,7634,7132.25,7484.5,7484.5,186762087
2020-03-25,7435.25,7761,7371.5,7462,7462,242979235
2020-03-26,7445.5,7893.5,7310.25,7856,7856,196928629
2020-03-27,7767.75,7806.75,7551.25,7561,7561,155867209
2020-03-29,7395.75,7507.25,7367.25,7489.25,7489.25,1256384
2020-03-30,7547,7885,7492,7871.25,7871.25,165079683
2020-03-31,7881.25,7995,7705,7720,7720,152926788
2020-04-01,7692.75,7694.5,7404.25,7498,7498,158305604
2020-04-02,7525.5,7656.25,7376,7587.25,7587.25,160830424
2020-04-03,7560.25,7660.25,7423.5,7522,7522,125484933
2020-04-06,7789.75,8099,7750,8075.25,8075.25,164979484
2020-04-07,8034.25,8303.25,7948,8029.75,8029.75,525510
2020-04-08,8042,8242,7981,8231.75,8231.75,164021285
2020-04-09,8168,8326.25,8101.75,8238.75,8238.75,190921520
2020-04-12,8296,8327.5,8073.25,8115.75,8115.75,1224003
2020-04-13,8109,8373.5,8091,8362.5,8362.5,134277446
2020-04-14,8448.75,8708,8415.25,8675.25,8675.25,157345858
2020-04-15,8655.25,8681.75,8486.5,8532.75,8532.75,159285002
2020-04-16,8539,8966.75,8539,8926.25,8926.25,192049231
2020-04-17,8915.75,8952.5,8689.5,8812,8812,201638423
2020-04-19,8747.5,8763.75,8733,8744.25,8744.25,582500
2020-04-20,8817,8846,8687,8721.75,8721.75,166372961
2020-04-21,8647.25,8709.25,8342,8445,8445,226945058
2020-04-22,8447,8700,8400,8431.75,8431.75,368770
2020-04-23,8598.5,8786.5,8532,8551,8551,157192323
2020-04-24,8535.75,8780.25,8505,8763.75,8763.75,141646451
2020-04-26,8760.75,8770,8730,8747,8747,556167
2020-04-27,8836.75,8898,8789,8819.75,8819.75,139152562
2020-04-28,8795.5,8945.75,8654.5,8764.25,8764.25,157506137
