Date,New Cases
Jul 14 2020,60971
Jul 13 2020,58858
Jul 12 2020,60469
Jul 11 2020,62918
Jul 10 2020,66281
Jul 9 2020,59260
Jul 8 2020,64771
Jul 7 2020,50304
Jul 6 2020,46329
Jul 5 2020,44361
Jul 4 2020,52228
Jul 3 2020,57718
Jul 2 2020,52730
Jul 1 2020,54357
Jun 30 2020,43644
Jun 29 2020,35664
Jun 28 2020,41390
Jun 27 2020,44703
Jun 26 2020,44602
Jun 25 2020,40588
Jun 24 2020,37667
Jun 23 2020,34313
Jun 22 2020,26657
Jun 21 2020,27616
Jun 20 2020,32411
Jun 19 2020,32218
Jun 18 2020,27828
Jun 17 2020,22834
Jun 16 2020,28392
Jun 15 2020,18577
Jun 14 2020,21957
Jun 13 2020,25468
Jun 12 2020,22317
Jun 11 2020,21744
Jun 10 2020,20486
Jun 9 2020,17376
Jun 8 2020,17598
Jun 7 2020,17919
Jun 6 2020,29214
Jun 5 2020,29034
Jun 4 2020,20555
Jun 3 2020,14676
Jun 2 2020,24955
Jun 1 2020,14790
May 31 2020,26177
May 30 2020,23553
May 29 2020,18123
May 28 2020,21304
May 27 2020,19680
May 26 2020,16429
May 25 2020,24958
May 24 2020,15342
May 23 2020,26229
May 22 2020,24268
May 21 2020,20522
May 20 2020,22860
May 19 2020,23405
May 18 2020,24481
May 17 2020,13284
May 16 2020,31967
May 15 2020,22977
May 14 2020,27191
May 13 2020,20869
May 12 2020,21467
May 11 2020,18106
May 10 2020,23792
May 9 2020,26660
May 8 2020,25996
May 7 2020,30861
May 6 2020,23366
May 5 2020,22303
May 4 2020,19138
May 3 2020,29763
May 2 2020,29794
May 1 2020,30369
Apr 30 2020,31787
Apr 29 2020,25512
Apr 28 2020,23901
Apr 27 2020,23371
Apr 26 2020,29256
Apr 25 2020,33161
Apr 24 2020,29873
Apr 23 2020,37144
Apr 22 2020,25858
Apr 21 2020,26490
Apr 20 2020,29468
Apr 19 2020,25995
Apr 18 2020,29916
Apr 17 2020,29002
Apr 16 2020,29164
Apr 15 2020,27158
Apr 14 2020,26385
Apr 13 2020,24156
Apr 12 2020,29145
Apr 11 2020,33288
Apr 10 2020,33251
Apr 9 2020,31705
Apr 8 2020,31534
Apr 7 2020,21597
Apr 6 2020,43438
Apr 5 2020,26065
Apr 4 2020,30683
Apr 3 2020,34864
Apr 2 2020,26135
Apr 1 2020,27043
Mar 31 2020,22562
Mar 30 2020,22635
Mar 29 2020,18251
Mar 28 2020,19332
Mar 27 2020,17965
Mar 26 2020,16916
Mar 25 2020,13987
Mar 24 2020,10115
Mar 23 2020,10934
Mar 22 2020,8821
Mar 21 2020,5836
Mar 20 2020,3528
Mar 19 2020,4777
Mar 18 2020,3419
Mar 17 2020,2797
Mar 16 2020,755
Mar 15 2020,1237
Mar 14 2020,338
Mar 13 2020,267
Mar 12 2020,414
Mar 11 2020,278
Mar 10 2020,290
Mar 9 2020,225
Mar 8 2020,147
Mar 7 2020,64
Mar 6 2020,47
Mar 5 2020,66
Mar 4 2020,20
Mar 3 2020,25
Mar 2 2020,23
Mar 1 2020,6
Feb 29 2020,8
Feb 28 2020,0
Feb 27 2020,1
Feb 26 2020,0
Feb 25 2020,0
Feb 24 2020,0
Feb 23 2020,0
Feb 22 2020,0
Feb 21 2020,2
Feb 20 2020,0
Feb 19 2020,0
Feb 18 2020,0
Feb 17 2020,0
Feb 16 2020,0
Feb 15 2020,0
Feb 14 2020,0
Feb 13 2020,1
Feb 12 2020,0
Feb 11 2020,1
Feb 10 2020,0
Feb 9 2020,0
Feb 8 2020,0
Feb 7 2020,0
Feb 6 2020,0
Feb 5 2020,0
Feb 4 2020,0
Feb 3 2020,3
Feb 2 2020,0
Feb 1 2020,1
Jan 31 2020,2
Jan 30 2020,0
Jan 29 2020,0
Jan 28 2020,0
Jan 27 2020,0
Jan 26 2020,3
Jan 25 2020,0
Jan 24 2020,1
Jan 23 2020,0
Jan 22 2020,1
