text_num,time,text,label
1,2020-04-22 22:30,자동차 운전해보신 분?나는 밤에 차선구분도 안가고 어디가 길이고 어디가 낭떠러진 줄 구분안가고 사람칠까봐 개 무섭고 이런데 면허따고 운전해도 될려나?,1
2,2020-04-22 22:30,캠핑 동아리 없나요등산이나 여행말고 캠핑이요!,1
3,2020-04-22 22:30,과제하는데 시간 얼마나 걸림?나는 솔루션 보더라도 답만 달랑있고이리저리 책 찾아보고 인터넷 검색해보고 하니깐 스무문제 푸는데도 하루이틀 뚝딱인데하루에 과제 두세개 한다는 사람들은 빡집중해서 하는건가,1
4,2020-04-22 22:30,물리나 화학 문제 풀 때유효숫자 결정에 따라서 답 조금씩 다르게나오잖아여정답에 근사한 값 적어도 완전 틀린 거임???,1
5,2020-04-22 22:30,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ유효숫자 질문 계속 올라오네한 달만 있어봐라 유효숫자 따위 신경도 안 쓸 날이 올거다,1
6,2020-04-22 22:30,나는 과제 이대로 가도 좋으니까 사강 계속했으면하는뎅...새내기들한테는 미안하지만...학교가도 이제 아는사람도 몇 없고...ㅠㅠ차라리 이게좋아...우리 다같이 혼자 공부하는거야...,1
7,2020-04-22 22:30,대실영2 커스턴리교수님week2과제에 뭐가 젤 혁신적인것 같냐는 문제 그냥 물건하나만 쓰면되나요??아님 그 이유도 써야하나요?,1
8,2020-04-22 22:30,"인행심 ㅇㅈㅅ 교수님올려주신 ppt 이해를 못하겠어요 🥵 레포트에 정말 뇌 연구 관련 내용만 넣으면 되나요 ,,,,?",1
9,2020-04-22 22:30,붓산대에서 삼성 현대 잘감?학점3.5맞으면 ㅆㄱㄴ?,1
10,2020-04-22 22:30,부산대에도 족보 많나?아싸는 이런 거 못 받으니까 어케든 인싸들 사이에 끼어야겠지..?,1
11,2020-04-22 22:30,긱사택배이번에 긱사처음가는데 짐 택배로 보내면 어디로보내나요?그리고 저희가 입사날 들고올라가낭요?,1
12,2020-04-22 22:30,과제많은거는 찡찡이들 헛소리로 결론땅!땅!,1
13,2020-04-22 22:30,일반화학 38(b)문제14갤런의 휘발유를 살 거고 1갤런당 3.09달러면 답의 유효숫자는 세자리 아닌가요...? 답지는 유효숫자 두자리로 표현했네요 ㅠㅠ,1
14,2020-04-22 22:30,일반화학1 ㅈㅅㅊ교수님 과제있나요??.,1
15,2020-04-22 22:30,개강 더 밀릴까요ㅠㅠ??4월 중반에 택배 올 거 있는데 어디로 해야될지 멘붕...,1
16,2020-04-22 22:30,봉트료시카귀엽찌 귀엽찌,1
17,2020-04-22 22:30,아니 다른과는 과제 원래 얼만큼 나옴?공대기준 20학점 전공 6개 + 실험 1개2주차부터 과제 나오기 시작해서 1주일마다 과목당 리포트 1개 또는 2개(대여섯장 분량). 이 때 리포트는 과제물과 별도로 작성해야함.실험 6시간 + 실험 보고서 + 예비보고서(합쳐서 약 30장정도)학기말엔 텀프로젝트까지 겹쳐서 정신없이 보내는게 일상인데다들 이정도 아니었음?,1
18,2020-04-22 22:30,Conservative🤭🤭,1
19,2020-04-22 22:30,나는 과제 할 때-합니다 -습니다 이렇게 썼는데 다들 안그러구나...,1
20,2020-04-22 22:30,전판 그브한 부산대생 댓달아라현재의 미니언에 집중하면 된다. 미래의 갱 생각안한다던 그브 댓달아라. 지금 주차장이다.너 땜에 또 다이아갔다. 빨리달아라,1
21,2020-04-22 22:30,중동 세개 오반가요...?과동은 안할예정,1
22,2020-04-22 22:30,벚꽃 다폈다이뿌당,1
23,2020-04-22 22:30,심리학과 과제 어디까지 하셨나요?서막 ppt부분 다 해야하는건가요?오늘날의 심리학 부분에서 선천성후천성 논제 이후 부터는 주제랑 크게 상관없어보이는데긍정심리학이나 분석수준이나 하위분야 이런 것도 5장에 포함해서 써야하는건가요?,1
24,2020-04-22 22:30,이공 컴사아니 책은 2.0같은데 우리가 하는건 3.0이면 어떻게해야함? 2.0다운받아야함?,1
25,2020-04-22 22:30,ㄹㅇ 진탐생때문에일주일 다간다....,1
26,2020-04-22 22:30,이지경까지 조별 안놓는 교수는 밉다 진짜지나가다가 책상 모서리에 매일 발가락 찧었으면,1
27,2020-04-22 22:30,독서실 한달 더 끊어두 되냐..몇 주 씩하면 돈 엄청깨지는데 개강연기 공지는 너무 늦고  기숙사 공지는 그것보다 더 늦어서 죽겠어 진짜;,1
28,2020-04-22 22:30,북문노스북문노스 11시까지인가요?,1
29,2020-04-22 22:30,이공 컴사 2번상어 오른쪽 보고 있는데 왼쪽보게 해야하나여,1
30,2020-04-22 22:30,일반휴학가능횟수같은거 따로있어? 여러번해도되는건강?,1
31,2020-04-22 22:30,사과문이전의 일에 대해서...씁니다.,1
32,2020-04-22 22:30,물리러분들 도와주세요 ㅠㅠ여기서 지구 질량 kg 밑에 lbf-s^2/ft이 단위가 무슨 의미인가요?그리고 이 단위는 파운드(lb)로 어떻게 고치는지 알려주시면 정말 감사하겠습니다 ㅠㅠ,1
33,2020-04-22 22:30,"2실험 5전공인데 소화가능할까여ㅜㅜ18학점이고 하나w할까여,.ㅜ",1
34,2020-04-22 22:30,큰일이다 혹시 다들 동아리 신청하셨나요???!개강하고 나서 동아리 모집하는 줄 알고계속 신경 안쓰고 있었는데... 큰일이네요,1
35,2020-04-22 22:30,나 고양이가 토하는거 봤음길고양이가 딸꾹질 비슷한거 하고있길래 봤는데 토하더라,1
36,2020-04-22 22:30,여기 다미팬 있냐?복숭아 드세요,1
37,2020-04-22 22:30,패논패면 학점은 우캐되유..?...?!,1
38,2020-04-22 22:30,그 노래방나 PC방코로나 행정 지침 인가? 이거 안지키고 운영하면 신고해도 되는거에요?,1
39,2020-04-22 22:30,지금1학기14학점이고 2학기에도 이정도 들을건데바로 군대로 퉐껀데 이렇게 해도 되겠징?,1
40,2020-04-22 22:30,과제 많다고 징징댈 수도 있지전공 과제도 벅찬데 한 강좌당 8시간씩 쓰고 있다,1
41,2020-04-22 22:30,조 가가 사회 악이라는게 맞는듯조씨라는 말은 아까우니 조가다 조형기조주빈조두순조혜련조현아조병갑조영남조윤선풍양조씨믿거조 ㅅㄱ,1
