text_num,time,text,label
1,2019-02-05 23:48,"아씨 ㅠ 왜 듣고싳은 교양 전부 전공이랑 겹치냐,,,,하",1
2,2019-02-05 23:50,여러분 w띄울수 있는거 횟수제한있나요..? ??,1
3,2019-02-05 23:52,독일어 김동조 교수님 구술시험 사람들 앞에서 치나요!?,1
4,2019-02-06 0:11,싸강 싸강 뭐뭐 있는지 알고 싶으면 어디를 봐야하나요??아무리 찾아봐도 모르겠어요ㅠ,1
5,2019-02-06 0:11,타과 전공기초 들으면 일선으로 옮겨져요? 일선인원도 없음..,1
6,2019-02-06 0:11,살은 예전보다 5키로가 쪘는데 왜 다들 나보고 살 빠졌다고 할까살 빠진게 아니라 호오오올쭉 해졌대운동도 안했고 먹는거도 라면 같은거만 먹었는데 왜지근데 애볐다는 소리 들으니까 살 뺄 의지 팍팍 샘솟는다,1
7,2019-02-06 0:37,요새 패션 우울증 많은듯 진짜 우울증은 일상생활 안될정도로 힘든것조금만 힘들고 기분안좋으면 난 우울증이야 라고 자기세뇌,1
8,2019-02-06 0:52,큰집에 갔는데 큰할머니가 나보고 “시집 언제 가냐” 해서 저 아직 대학생이고 좋은사람 이ㅛ으면 하고 아님 말고 식으로 취업이 더 중요하지 않을까요 라고 이야기했는데 여자는 무조건 시집잘가서 시부모님 말 잘듣고 살림 잘하는게 장땡이라고 졸업하고 취업보다 좋은 인연 만날 생각하라는데 말이 안통하네요 내일도 얼굴봐야하는데 부엌일 시키고 그럴거같아요 뭐 좀 반격 하는 법 없을까요 진짜 빡치는데 큰소리 낼수도 없구,1
9,2019-02-06 0:55,5영역 듣는거요 제가 1영역두개 2영역하나 6영역하나를 들었는데학점인정된게 3개밖에 없더라구요영역 겹쳐서들으면 원래 하나 증발하나요?,1
10,2019-02-06 1:00,기숙사 입사 2월 28일 이후면 아무때나 가능?? 개강하고 들어가도 별 문제없나?,1
11,2019-02-06 1:00,해양스포츠 들어보신 분 강의 후기가 너무 부족해서요 ㅠ수업 어디서 하나요? 시험은 어떻게 치는건가요?,1
12,2019-02-06 1:21,드래곤길들이기 3 보고싶은 사람 사람??,1
13,2019-02-06 1:32,시간표 짜다가 성격 버릴듯 아아 존나 우리 과 개설과목 상태 무엇,1
14,2019-02-06 1:33,심심한 새벽에 자작곡 투척 https://youtu.be/raHv_KEF14A취미로 미디작곡 간간히 하다가 유튜브 한 번 올려봤습니다딱히 올릴 데도 없고 해서 던져두고 갈게요... 밤에 듣기 좋을 거에요,1
15,2019-02-06 1:38,갑자기 취업 걱정된다 .... 인생 어쩌지?? 불안하네공기업 가는게 좋을까?? 대학원 가는게 좋을까?,1
16,2019-02-06 1:43,교양선택 18학번임 인문대고12233667 이렇게 듣고 6 하나 일선으로 넘기는거 가능?,1
17,2019-02-06 1:44,수강신청 때 같은 과목이나 같은 시간 강의 겹치면 화면 뜨면 신청 신청 신청 차례대로 누르잖아요경쟁 빡세서 튕길까봐 같은 과목 여러개 담고 같은 시간으로 겹치는 것도 많이 담아놨는데담아놓은 강의 모두 신청 클릭하면 안되는건가요?,1
18,2019-02-06 1:49,경영 복/부전 경영학과는 무슨 과 복/부전 많이 할까요??,1
19,2019-02-06 2:07,207 에서 514까지 얼마나걸림?,1
20,2019-02-06 2:14,눈수술 괜찮은 성형외과 있을까요 눈매교정만 할껀데 부산에 어디괜찮은데 있을까요ㅜㅜ가격은 100선으로 생각하면 되겠죠?,1
21,2019-02-06 9:42,학점이월기준이뭐에요 저번 학기때 꽉 안채워서 들었는데 이월이 안되누..?,1
22,2019-02-06 9:42,국장 소득분위 아직 안 뜬 사람..?,1
23,2019-02-06 9:50,사회복지학과 여러분들...! 사회복지행정론 / 유영미 교수님 / 3학년 전공필수타과생인데 일선으로 이수해보고 싶어요!근데 3학년 수업이고 필수과목이라 피볼까싶어서 걱정이네용 ㅠ점수 받기 괜찮은 편인지 여쭤보고 싶습니다!,1
24,2019-02-06 9:52,패논패들어도 학점은 인정돠죠..? 일선3헉점들을건데,1
25,2019-02-06 9:54,특공관에서 경영관까지 15분만에 ㄱㄴ?,1
26,2019-02-06 10:02,공공정책 복전 커리큘럼 다들 시간표 어떻게 짜셨나요 !!?!,1
27,2019-02-06 10:03,자퇴할때 도장필요함?,1
28,2019-02-06 10:04,"졸업영어 부산대 토익 말고 글로벌영어1,2 듣고 졸업영어 들으면 졸업 가능하다고 알고 있는데 맞나요..?  ㅠㅠ",1
29,2019-02-06 10:07,"도시공학과 학생분들께! 1. 도시계획개론 / 이성호 교수님 / 2학년 전공필수2. 도시개발론 / 권연화 교수님 / 2학년 전공선택두 과목 중 한 과목을 일반선택으로 듣고 싶습니다!팀과제가 적고전공에 대한 전문성이 없어도 따라가기 괜찮은 수업은두 과목 중 어떤 과목일 지 여쭙고 싶어요!암기를 잘하고, 수업시간에 집중을 잘하는 편인 학생에게점수따기 더 괜찮은 수업 조언 부탁드립니다! (*´꒳`*)",1
30,2019-02-06 10:25,미필 3학년이 동아리 들어가면 좀 민폐겠죠운영위나 회장도 2~3학년일텐데,1
31,2019-02-06 10:29,교환학생 오티 오티날 일정이 있는데오티 많이 중요할까요...?중요공지사항이 있다던지 ㅜㅜ,1
32,2019-02-06 10:37,무역 수강인원 주전공인원에게만 다 열리고 나머지는 다 0자리인데 어떻게된거죠ㅠㅠ,1
33,2019-02-06 11:07,중동 안드로메다 천체관측 동아리 ㅇㄸ??,1
34,2019-02-06 11:32,개는 만지지마 부분이 없네??,1
35,2019-02-06 11:34,대학원 대학원가려면 어떤걸 준비해야하나요??,1
36,2019-02-06 11:39,핸드폰 대리점 추천 부산대 앞에 대리점 추천좀 ㅎㅎ,1
37,2019-02-06 11:44,교수님 미정이면 신임교수님이신거죠?? 등록이안되어있네 ㅠㅠ,1
38,2019-02-06 11:47,기계과 공학인증 계과 공학인증 포기해도 되나요? 계과로 전과 준비중인데 우어래 소속과가 공학인증과가 아니라서 교양을 어떻게 들어야할지 고민이네요그리고 1차 수강신청끝나고 과사 문의하면 일선열어줄까요??ㅠㅠ,1
