text_num,time,text,label
1,2020-04-05 17:42,"리더십 개발과 훈련 나만 2주차 과제 뭐 해야되는지 없어,,?과제 내는 곳만 있고 교수님이 과제가 뭔지 안알려줘 ㅠㅠ",1
2,2020-04-05 17:42,변환 내생각에는 원래 교수님들이 동영상 올리실때 변환시간이 필요하거든?서버가 재시작되면서 동영상 변환도 다시 하는거같음 ㅇㅇ고로 시간이 약이라고... 어떻게 방법이 없어,1
3,2020-04-05 17:43,오차론 과제해야되는데.. 동영상 재생이 안되네 하얀 화면만 뜨고,0
4,2020-04-05 17:44,배그 두판만 하고 온다 그때까지 고쳐놔라,1
5,2020-04-05 17:44,r언어 실습과제 제출할때 옆에 #어쩌구저쩌구  꼭 써서 내야하는거야?,1
6,2020-04-05 17:44,"탕짜면 먹을까? 치킨 먹을까? 탕짜면(탕슉 + 짜장)도 맛있을거 같고, 치킨은 안나가도 되서 편하고 맛있고.근데 가격차가 ㅠㅠ 탕짜면은 8천원, 치킨은 2만원!뭐 먹을까!!",1
7,2020-04-05 17:44,"플라토 지금 폰으로만 가능한거야? PC로 접속하니까 동영상 강의가 재생은 되는데, 출석체크가 안 되네폰으로 하니까 출석 체크가 되는 데, 나만 지금 이상한건가?",0
8,2020-04-05 17:45,부산대 앱에서 플라토 어떻게들어가나요 안보이는데ㅠㅜ,0
9,2020-04-05 17:45,부산대 씨발 연장시켜줘라 연장들고쳐들어가기전에,0
10,2020-04-05 17:45,아 진짜 1학기 싸강 빨리 확정내라 ㅆㅂ 지금 자취방 양도도 못하고 진짜,0
11,2020-04-05 17:45,교수님ㅠㅠ 동영상이 안틀어지는데 출석하라고 제촉하시면 ㅜ,0
12,2020-04-05 17:45,스크래치에서 소수 둘째자리에서 반올림을 어떻게 해? 그냥 반올림 기능밖에 안보이는데 우째야하냐,1
13,2020-04-05 17:46,플라토 배속 플라토 배속해서 들으면 배속한거 들킴??  예를들어 16배속을 했다던지^^,1
14,2020-04-05 17:47,대면강의하려고 일부러 플라토 이러는거냐 싸강 ㅈ같네 이러면서 현강하려고 고단수 쓰는건가?어휴,0
15,2020-04-05 17:47,난이런데 어케해? 업뎃햇는데,1
16,2020-04-05 17:48,스시랑 연어 어때요? 배달 갠춘?,1
17,2020-04-05 17:48,플라토 3분마다 버퍼링 걸려서 껐다켜야됨...ㅋㅋ껐다키는거 안하면 재생 안됨....ㅋㅋㅋㅋ,0
18,2020-04-05 17:48,아까 외국인한테 번호물어봤던남자 당사자가 글씀요,1
