text_num,time,text,label
1,2020-04-06 23:31,한학기 싸강 가능하려나..,1
2,2020-04-06 23:32,중간고사 폐지 공지 빨리해줘 .,1
3,2020-04-06 23:32,교수님 이메일 어디나와있어요??,1
4,2020-04-06 23:33,온라인출석 몇회열람했는지도 교수님한테뜨나요?,1
5,2020-04-06 23:34,구금서 교수님 화상강의 대체 언제하는거여??,1
6,2020-04-06 23:35,컴공들아 컴잘알들아 헥스 에디터나 아트머니는 치트엔진 기반이 아니라 완전 다른 소스코드로 만들어진거지?,1
7,2020-04-06 23:37,오차론 과제 2번 100원짜리 동전에서 최소눈금불확도를 0.2로 하던 0.5로하던 상관없죠 ..?강의 다시보니까 0.2로 되어있길래,1
8,2020-04-06 23:37,제트스트림 말고 제트스트림 열받노 ㅅㅂ 다쓰지도 않았는데 맨날 끊김. 그거말고 얇은데 잘나오는 필기 잘되는 검은펜 ㅊㅊ 받는다,1
9,2020-04-06 23:38,원래 교수님들 말투가 귀여우신가요? 과제 피드백이 이렇게 왔어요(참고로 닭발은 제 수면바지에 있는 바나나였습니다,1
10,2020-04-06 23:39,구금서 교수님 화상강의 언제 하는거냐.....저번에도 놓쳐서 이번엔 놓치면 안대는데...,1
11,2020-04-06 23:42,사기당한 19만원.. 아직도ㅠ진정이 안되네....하.....이제 사기당한 사람들의 심정을 알겠다 지금까지는 왜 당하지 했는데...,1
12,2020-04-06 23:43,밤새고 일주일에 머리아플정도로 2~3번정도밤새야되는상황이고밤새고 잠도별로못자면얼굴 못생겨지려나얼굴 커진다던가,1
13,2020-04-06 23:44,"실내 운동 추천해주세요😊 2달 넘게 실내에 있으니까 살은 붙고 근육은 빠지고 몸 상태가 너무 안 좋아지는 거 같은데 다들 어떻게 활동량 채우시나요? 원래도 운동을 안하긴 했지만 학교 가는게 나름 운동이었는데 그것마저 없으니 기분도 우울해지고 몸이 늘어지네요ㅠㅠ 이 시국에 온천천 걷기도 그런 것 같고 실내에서 간단하게 해볼 수 있는 운동 있을까요? 참, 다들 코로나로 칩거생활 중일텐데 파이팅입니다💪🏻💪🏻💪🏻 다 같이 이겨내봅시다!",1
14,2020-04-06 23:45,독일어 히르쉬베르크 교수님 과제 독일어1 교양과목 팀 히르쉬베르크 교수님 4주차까지 pdf랑 ppt말고 과제 있었나요? 듣기 파일도 스피치 연습 같던데....,1
15,2020-04-06 23:45,flex 하는데 돈을 다 썼어? 명품이 나의 가치를 매겨?,1
16,2020-04-06 23:47,킴벌리쌤 대실영 온라인과제 시험에 안나오겠져?,1
17,2020-04-06 23:51,나보다 멍청한 사람 있니... 내가 제일 좋아하는 dj분이 있는데 그 분이 어렸을 때 장난삼아 작곡한 곡들 좋아했거든그 중에서 내가 많이 좋아하는 곡이 있었는데 커뮤에 물어봐도 아는 사람이 없는거야? 이 때 이상하다고 생각했지만 걍 넘기고 살았음근데 방금 이 노래가 이름만 비슷한 전혀 다른 아마추어 dj꺼라는걸 알았어..ㅋㅋㅋㅋ 어떡하지 나 팬 된지 올해로 3년짼데 현타온다,1
18,2020-04-07 00:00,운동하는게 어떻게 재밌을 수가 있지? 힘들기만 하고 운동하는 동안 아무것도 못하니까 재미없어서 죽을 거 같던데 운동 재밌다는 헬창들 이해가 안가,1
19,2020-04-07 00:03,정문에 떼창하네... 어디 모여서 콘서트 하는건 아니지..? 아니 진짜 절대 부럽고 그런건 아니지만 그냥 뭐 걱정되기도 하고 그렇네... 외롭고 그래서 그런건 아니야... 너네 진짜 재밌어보인다...,0
20,2020-04-07 00:04,타지사람인데 이번에 부산에서 투표가능?,1
21,2020-04-07 00:08,컴사 로봇청소기 사진처럼 원래 가구 위쪽은 안 가는거죠?,1
22,2020-04-07 00:09,근데 여기 일물실 게시판임?게시판 헷갈리네ㅋㅋ,1
23,2020-04-07 00:10,계절학기 이번에 언제부터인지아는사람?그리고 온라인 수업하겠지?,1
24,2020-04-07 00:13,과제 제출 5초 이거 교수님이 봐쥼?,1
25,2020-04-07 00:16,ㅜ 내신 암기식위주로 공부 하는거 너무 싫어서 내신 버리고 정시로 왔더니 중간고사 어떤식으로 공부해야할지 1도 감이 안오는군 망했다!와!,1
26,2020-04-07 00:18,아이패드 전공책 너무 무겁고 프린트물 제대로 관리할 자신이 없어서 아이패드나 갤럭시탭이나 사서 필기용. 강의용. 유투브나 넷플보는걸로 사용하려고 하는데요 너무 돈낭비인가요? 살지안살지 너무 고민되고 사더라도 어느정도 사야될지도 고민이에요 ㅠㅠ,1
27,2020-04-07 00:18,죽으면 다 끝날까 너무 힘들다,1
28,2020-04-07 00:19,과제 개떡같이 풀어도 찰떡같이 알아들어주세요 교수님,1
29,2020-04-07 00:20,우주하마 우주하마 유튜브 보는 사람있어..?,1
30,2020-04-07 00:24,새내기 주말에 놀러갈일 많음? 주말 알바 해볼까하는데... 주말알바하면 일박이일 이렇게 못놀러가니깐 ㅠㅠ,1
31,2020-04-07 00:24,이거 좀 가르쳐주세요 멋진 선배님들 요기서 맨 위 오른쪽에 D는 뭘 의미 하나요? 평균편차라고 하기엔 너무 커서... ㅜㅜ부탁 드립니다,1
