text_num,time,text,label
1,2019-01-01 0:39,궁금한거 코스모스가 plms인가여??,1
2,2019-01-01 0:47,올해도 잊지마십셔 77ㅓ어어어억,1
3,2019-01-01 0:52,야밤에 치맥가능한 치킨집 아시는분~ 부대쪽도 괜찮고 장전역이나 북문 근처면 더 좋아여!,1
4,2019-01-01 0:54,엊그제 20이였는데 벌써 22여,1
5,2019-01-01 1:04,진리관 식사변경 계절엔 안 하나요 밥 멉고시포요..,0
6,2019-01-01 1:07,지금 새해인사하면 뒷북인가 쿵짝,1
7,2019-01-01 1:09,새해 첫 노래 니가 너무 보고 싶은 날엔~너무 견디기 힘든날에는~너를 사랑한다 입가에 매~햄돌아혼자 다시 또 missing for you새해 처음으로 아무 이유없이 흥얼거린 노래,1
8,2019-01-01 1:16,좋아요를 누르는 습관을 들여봅시다 여기서 연습해봐요,1
9,2019-01-01 1:16,내 몸 ㅁㅌㅊ? 허리디스크 + 치질 + 눈병ㅅㅂ ㅈ같네,1
10,2019-01-01 1:19,올해 이루어졌으면 하는 소원 있어?? 여기 적고 꼭 이뤄졌으면 좋겠어 ><,1
11,2019-01-01 1:22,벨로스터N 가지고 있는 렌트카회사없나 수동차량 급 땡기네,1
12,2019-01-01 1:36,새해 복 많이 받으세요!! 기념으로 그린 이브이,1
13,2019-01-01 1:36,아는 여동생이 부대 이과 중하위? hot게 입결기준으로 해양학과 조선과랑 비슷한 라인에 있는 과 버리고취업안된다고 듣보 4년제 간호학과 갔는데내가 문과라 그런지 이해가 잘 안돼서... 이과는 역시 대학보다 과인가??,1
14,2019-01-01 1:55,축구 왜이러냐 새해부터... 답답 그 자체네,1
15,2019-01-01 1:57,새해인사 왜 하는거임? 걍 가식이라고해야하나 그냥문화?20명넘게왔는데 난 이거 왜 하는지 모르겠음,1
16,2019-01-01 1:57,떡볶이..ㅠㅠㅠㅠㅠ!!!!!!!! 나진짜 꾸덕꾸덕한 빨간양념에 가래떡같이 굵은 떡으로 만든 시장떡볶이 좋아하거든!!부산에서 제일 맵고 딱 위에 스타일 같은 떡볶이집은 오디이쑬깡?알려줘~~,1
17,2019-01-01 1:57,계절 수업안하죠? 아니 마이피누에 누가 수업한다고 댓글달아서 사람 헷갈리게함ㅡㅡ,1
18,2019-01-01 2:00,성적 성적 보통 오전 몇 시에 떠요?,1
19,2019-01-01 2:07,4.0이면 학괒몇등쯤할까 진짜궁그매서,1
20,2019-01-01 2:12,룽게 성우 목소리 지리네.. https://youtu.be/W7ZLRiuWKUI,1
21,2019-01-01 11:39,인문대 2017 취업률 .,1
22,2019-01-01 11:41,망해가는 기계과 한해 지날때마다 앞자리가 바뀌는기적!,1
23,2019-01-01 11:49,경영 ㅇ,1
24,2019-01-01 12:09,화계학원리 ㄱㅈㅇ교수님 휴강 하시나요 오늘?,1
25,2019-01-01 12:12,삼반수 괜찬ㄹ다고 생각?남자/여자 별로 마지노선 어떻게 생각하는지 궁금..남자는 사수 여자는 삼수 까지 괜찮 이런거!!( 막 쓴거니 남녀갈등 댓글 달지말고),1
26,2019-01-01 12:13,약간 좀 노어이 ??,1
27,2019-01-01 12:17,그 백팩말고 옆으로 매고 다닐거 사려는데이름이 뭐지?? 뭐라고하드라,1
28,2019-01-01 12:23,내일 웃으면서 성적 확인 할 수 있기를 제발..,1
29,2019-01-01 12:31,7급 공무원 vs 공사공단 둘중 뭐가 더좋은지 짧게 이유도..ㅜㅜ,1
30,2019-01-01 12:33,3pop 오늘 쓰리팜 하나요??,1
31,2019-01-01 12:42,상의탈의한 성소 수자,1
32,2019-01-01 12:47,전컴취업률올려주실분 들어가보기 귀찬은대...,1
33,2019-01-01 12:52,오늘건도하나요? 아는분 알려주세오ㅜ,1
34,2019-01-01 12:59,배리나 바이임? 여기서 바이는 양성애자,1
35,2019-01-01 13:02,마이러버 에타밖에 안하는데 마이러버 어케 하는거? 그냥 조건 설정하고 맞는사람 매칭인가,1
36,2019-01-01 13:11,경영 취업세부현황은 어찌됨 대기업 중소기업 공공기관 등,1
37,2019-01-01 13:16,아이린 어떻게 그렇게생겼지 좀 말이안되게 이쁜데;; 사람의 경지를 넘은거같음,1
38,2019-01-01 13:26,손목 뒤로 꺾은채로 힘주면 손날쪽 손목이 대따아픈데 꺾는거 아니어도 그냥 뭐 무거운거 들거나 힘이 많이들어가면 손날쪽에 손목이 잡아찢는거같다ㅠㅠ 힘안넣고 돌리는건 괜찮은데 이거 뭐가 문제일까,1
39,2019-01-01 13:30,22살이라니 22살이라니 어 채팅 왜 2번 쳐지죠?어 채팅 왜 2번 쳐지죠?,1
40,2019-01-01 13:45,계절학기 화2 휴강? 12월 31일하고 1월1일 둘다 휴강 맞아요??? 31일날 휴강인줄알고 안갓는디...오늘도 수업안하네,1
41,2019-01-01 16:16,"(급구) 2월 오사카 여행하시는 분들!! 숙소(호텔) 양도합니다ㅠㅠㅠ 2월 13일 체크인/2월 14일 체크아웃 이구요오사카 난바역 근처에 위치한 호텔입니다. 도톤보리까지 걸어서 15분입니다원가는 17만원인데 저희는 할인 특가로 132,560원에 구매했고, 네고 해서 12만원으로 양도하겠습니다ㅠㅠㅠ싱글 침대 4개에 싱글 사이즈 요 이불 4개로 최대 8인까지 수용 가능하구요TV, 냉장고, 전자레인지, 가스레인지 전부 다 있습니다!HG 코지 호텔 넘버.354-2-20 Nipponbashi, 오사카, Osaka, 556-0005익스피디아에서 결제했고, 저희가 만나서 여권으로 체크인 다 해드리고 갈게요일행 중 한명이 급한 사정이 생겨서 다른 곳으로 이동해야 되는 상황이 발생했는데할인 특가라서 예약 취소가 안된다고 하더라구요ㅠㅠㅠ관심있으신분들 쪽지랑 연락 주시면 감사하겠습니다ㅠㅠㅠ",1
42,2019-01-01 16:25,멜론 같은거 가격 좀 올랐던데싸게 듣는 방법 아시는 분 ㅠㅠ스트리밍만 할거예요 ㅠㅠ,1
43,2019-01-01 16:40,공대 학점 문의좀요ㅜㅜ 1학년때 12.5학점듣고 성적 2.5정도인데 2학년 끝날때까지 풀계절 하면 얼마나 가능한가요?(전화기중 하나입니다),1
44,2019-01-01 17:15,중고나라 사기꾼 족치는 방법좀여 진짜 죽이고 싶네,1
45,2019-01-01 17:18,스마트폰으로 출석체크 어떻게 하나요? plms에 교수님이 고유번호 띄워놓으면폰으로 자기가 입력해서 출석체크하는 건데plms 홈페이지 들어가봐도 안 보이네요 ㄷ,1
46,2019-01-01 17:22,계절 스페인어 존나 어렵고 잠오는데 나만 그런거냐?,1
47,2019-01-01 17:23,계절 일물1 백광윤교수님 수업 내일 과제 있나요ㅠㅠ 어제 수업을 못갔는데 과제있나요 내일까지 제출해야할독강이라서ㅜㅠㅠㅠㅠ흐엉오전수업이에요ㅠㅠ,1
48,2019-01-01 18:14,학원 알바 어디서 구하셨나요 다들 ㅈㄱㄴ,1
49,2019-01-01 18:20,성적 교수상담 상담은 했는데 상담신청 까먹어서 내일 교수님께 상담여부 바꿔달라하면 성적 열람 가능한가요?ㅠㅠ,1
50,2019-01-01 18:36,추위 잘 안타는데 주유소알바 에바일까,1
51,2019-01-01 18:43,동생 사범대 갈거라는데 취업률이 인문대보다 낮네;;,1
52,2019-01-01 18:44,고토 끔찍해 계절 괴로워,1
53,2019-01-01 18:57,돈남는거 어디다 넣어두냐 펀드? 적금? 예금?? 펀드했다가 30만원 날아갔다....,1
54,2019-01-01 19:05,괜히 공란이라서 찝찝하네요 ㅠㅠ 29일 토욜인데 토욜 수업 없거든요..? 아니면 나몰래 수업을 하나..?,1
55,2019-01-01 19:11,건도노트북 아예안된다고 붙여있나요? 친구말로는 창가쪽은 ㄱㅊ다고하던데 콘센트없어서 안된다는건지,1
56,2019-01-01 19:12,강의평가 익명인거 확실하지? 확실?,1
57,2019-01-01 19:14,내가 좋아하니깐 저쪽에서도 날 점점 좋아해주는게 느껴진다. 너무 달달행,1
58,2019-01-01 19:18,부대역 앞 다이소 오늘해요?ㅠ 하면 언제까지?ㅠㅠㅠㅠ,1
59,2019-01-01 19:32,길리안 초콜릿 너무 맛있다 인생초콜렛이에요,1
60,2019-01-01 19:42,새해 일출보고 왓서요 진짜 추워디질뻔했는데 좋긴좋네여다들 올한해도 화이팅~~,1
61,2019-01-01 21:44,성적열람 궁금한게 있습니닷 과목 하나만 강평안하면 그과목만 성적열람이 제한되는건가요 아니면 모두 제한되는건가요?,1
62,2019-01-01 21:49,지도교수 상담안하면 성적 절대 못봄?? ?,1
63,2019-01-01 21:55,성적 몇시에떠요?,1
64,2019-01-01 22:04,스트레스 어떻게 푸세요? 항상 시험전에 스트레스가 너무 극심해져서 고민이에요 게다가 요즘은 자격증이나 취업걱정때문에 더 고민이 많아지고있네요 어떻게 다들 극복하시는지 궁금합니다!,1
65,2019-01-01 22:04,원래 1.2라고 날짜 써줬나?? 아닌 거같아서 ㅠ 혹시 이번에만 그런거라면 12시 땡하고 풀어주려는.걸까!!,1
66,2019-01-01 22:08,2일 시험 성적보다 앰맥 9집  circular나오는게 더 싄나~~하루살이이ㅣ이ㅣㅣㅣㅣㅣ,1
67,2019-01-01 22:09,요즘 학교근처 맛집 웬만한데 다가봤는데 각자 인생맛집있음 추천좀해죠!!!!!,1
68,2019-01-01 22:17,계절학기 장점이 뭐야?,1
69,2019-01-01 22:21,삼수하고 들어왔는디 지나간 시간이 넘 아까워서 ㅠㅠ좀 학기 빨리 패스? 하는 방법 있나요? 시작은 늦었으나 끝은 비슷한..그런 느낌,1
70,2019-01-01 22:23,자취하는데 열나고 아퍼....내일 수업 진심 가기싫다......,1
71,2019-01-01 22:28,부전공하고 싶은데 성적 낮아도 신청해보는게 낫겠죠? 학점이.. 전부인가여..?,1
72,2019-01-01 22:35,복수전공 신청 학교 직접 가야해요??,1
73,2019-01-01 22:41,부전공이랑 복전 큰 차이있나요?? + 부전공이나 복전들으시는 분들은 왜 들으시는거에요?? 취업목적인가요?? 아니면 흥미?,1
74,2019-01-01 22:44,"토익 토익900점 초반으로 할 수있는 대외활동이나 교환학생,인턴십 프로그램 추천좀해주세요ㅠㅠ",1
75,2019-01-01 22:52,넷플 4인팟 갈사람 읎나 ㅈㄱㄴ..할사람?,1
76,2019-01-01 22:57,적폐를 고칠래너만 이용할래물으면나만 이용한다는 사람이 훨 많겠지족보나 기타 등등,1
77,2019-01-01 23:07,우리 친구들 오늘 푹 자고 내일 기분 좋게 A+ 가득한 성적표를 보자!!이 글에 관연된 사람들은 전부 A+맞는 걸로 하자 알겠지?그럼 꿀잠~! (교수님 A+ 주실꺼죠? 🥺🥺 🙏🏻),1
78,2019-01-01 23:11,훠궈 한번도 안먹어봤는데 대만가서 첨 먹어보려고 하는데 맛있을까요? 훠궈 맛있나유?,1
79,2019-01-01 23:12,고1 노베 수학인강 추천 좀 해주라 아는게 삽자루 현우진 밖에 없는데 삽자루는 뭔일이 났네현우진은 나 재수할때 들었어서 노베에 맞을지 모르겠어ㅠㅠ,1
80,2019-01-01 23:15,마이러버 다신 안한다 ㄹㅇ키만큰사람이고,1
81,2019-01-01 23:59,경영학과는 심화전공 많이 해? 이제 3학년되는데 원하는 과 부전하기에는 성적 모자랄 것 같다 3학년 2학기에 부전 시작하면 늦지않아?,1
82,2019-01-02 0:00,성적발표 났어 ?,1
83,2019-01-02 0:01,아 진짜 너무한거 아니냐 나 완전 두근두근 설렘설렘 콧구멍 벌렁벌렁 거리면서 쪼끔쪼끔씩 밑으로 내렸는데 진짜 이러기 있냐,1
84,2019-01-02 0:01,^^ 글쓴이 나와,1
85,2019-01-02 0:03,개땨리고싶다 프로그래밍 이지랄 ㅋㅋㅋㅋ,1
86,2019-01-02 0:04,아니 우리 부대 에타인들 너무 순진한거 아니냐... 보자마자 어그로끈다생각했는데ㅋㅋㅋㅋㅋ다들 낼 아침에 확인하세요ㅋㅋㅋㅋ,1
87,2019-01-02 0:04,구라쟁이 넌 걸리면 뒤져 니 새끼 새해복따위 개나줘라 줘패버릴까보다순수한 마음으로 믿고 기다렸건만다신 구라못치게 아구창에 양말을 넣어버려야지 망할자식 황금돼지는 개뿔 황금똥이나 먹어라~,1
88,2019-01-02 0:06,새해부터 거짓말로 사람들 관심받으니까 좋으세요?언젠가는 다른 데서 그렇게 판 벌리다가 크게 데이는 날이 왔으면 좋겠네,1
89,2019-01-02 0:07,이런거 볼때마다 드는생각인데 다 2학기 신입생들이야? 1학기때 학점 안받아봤어??,1
90,2019-01-02 0:12,전과 2학년 1학기 이수자~ 이렇게 돼있으면 무조건 1학기 마쳐야 신청가능한거죠?,1
91,2019-01-02 0:12,여러분 학점을 보려면 뭐부터해야하는지아세요? 저는 에타에서 글을 안보고 카톡에서 다른 형들이 갑자기 어떤 과목 등급을 말하길래 카톡은 안들어가고 저 몰래 이원스톱 들어가서 금학기를 눌렀는데 엥 열람기간이 아니래요 근데 그제서야 강평해야하는 거 알고 강평했는데 에 또 안열려요?여러분 내일 아침까지 강평 끝내고 확인하세요 ㅠㅠ그나저나 괜히 설렜어 ㅠㅠㅠ,1
92,2019-01-02 0:13,내일 성적나오나 벌써부터 떨려뿌노,1
93,2019-01-02 0:13,진짜 과동기들 아무도 모르는데 거의 자발적 아싸처럼 행사에 참석도 안하다가 2학기때 휴학하고 이제 다시 복학하려 하는데 친구 사귈수 있...?,1
94,2019-01-02 0:14,내일 제발 100점 받았으면 좋겠다 ㅈㄱㄴ,1
95,2019-01-02 0:16,경북대 간호 vs 인제대 간호 경북대 간호 vs 인제대 간호어디??,1
96,2019-01-02 0:19,재료공학과 전과컷 얼마나 되나요?,1
97,2019-01-02 0:23,자고올테니까 성적올려놔라,1
98,2019-01-02 0:24,하 전화기갈껄 시불시불 왜 자연대 쳐왔지 좆연대,1
99,2019-01-02 0:30,상담안했다. 보고싶다 성적.뚫고싶다 제발.,1
100,2019-01-02 0:31,그냥 다음부터는 성적 나오는 날짜에 옆에 몇 시에 나오는지도 알려주면 좋겠다,1
101,2019-01-02 2:03,내일이면 홍콩을 떠나는 구나 완탕면이랑 딤섬 한번 더먹구 싶네마카오의 우유푸딩도 정말 맛있었어허점투성이 계획들타지에서의 쓸쓸하고 안타까운 반항한심하군 대학 때려치곤 겨우 이거부산은 여전히 춥겠지혼자 다니는 여행도 나쁘지 않았어다들 잘 자,1
102,2019-01-02 2:07,나는 진짜 행복해지고 싶어 진짜진짜,1
