text_num,time,text,label
1,2019-02-10 23:09,얘왜나한테 메롱함 ㅡㅡ,1
2,2019-02-10 23:12,월수10시반 암거나버려조나한테제발힝힝,1
3,2019-02-10 23:12,재미있는 글로벌 경제기행 싸강인데 왜 안들으세여..?? 토론방열리고 이건 뭐죵..!,1
4,2019-02-10 23:14,제가 치마를 잘 안입는데 오랜만에 입어보려구 검은 스타킹 찾고 있었는데 중3여동생이 오더니 검은 스타킹을 왜 신냐면서 자기학교에서는 다 살색만 입는다면서 되게 이상하게 보는데 이거 머죠?,1
5,2019-02-10 23:20,나같은넘 잇냐 취업욕심없는데 누가 나보고 '너 나이면 취업안된다'고할때 패배감들고 절패감드는넘잇??나도 늦게 입학해ㅅ거든,1
6,2019-02-10 23:21,"교환학생 궁금한 점 있어 하나라도 좋으니까 제발 답해줘..ㅜㅜㅜ1. 외국대학 학비 면제인데 그럼 부대 재학중이니까 부대 등록금은 내는거지?2. PNU지원금 새벽별, 미리내 이거는 지원할 때 선택하는거야?3. 위에 저 지원금은 학비와 무관한 지원금 (생활비?) 같은건지4. 교환학생 되면 생활비만 준비하면 되는건지5. 한 학기만 다녀올거면 얼마정도 드는지 (중국기준)6. 중국 대학은 hsk만 지원자격이던데 토플은 안쳐도(점수 없어도) 되는건지",1
7,2019-02-10 23:27,님들 나 숏컷칠거임~~!!~!~~! 긴머리 개불편~~!!!!!!~~!!!~!!,1
8,2019-02-10 23:31,효원특강이랑 지역기업의 이해 그리고 창업이랑 바꾸실분 구해여 구합니다,1
9,2019-02-10 23:32,와ㅠㅠ 수강취소 하나 잘못햇는데 10초도 안돼서 누가먹엇네 ㅠ,1
10,2019-02-10 23:32,러공예 vs 생프 열심히 한다는 전제하에 뭐가 더 a+ 받기 쉬운가요?,1
11,2019-02-10 23:39,학교 다이어리 언제쯤 나올까요??,1
12,2019-02-10 23:55,소프트렌즈 한개당 3일 쓸수있는거 저번주에 뜯어서 한번 사용하고 보관했는데 낼 써도 돼? 기한 상관없이 3회 쓸수있다는거야 3일 연속으로만 써야한다는거야,1
13,2019-02-10 23:58,나 키 175인데 여자 키 162까지는 진짜 작다는 느낌 많이 받는데여자가 남자키 180 인 애들 바라보면 무슨 느낌이야,1
14,2019-02-11 0:00,수업 몇명이 신청했는지 어디서 봐요? ㅈㄱㄴ,1
15,2019-02-11 0:02,월수 아홉시 법 일선 필요하신분 있으신가요,1
16,2019-02-11 0:05,파고다 토익 인강 듣고싶은 친구있나요?,1
17,2019-02-11 0:10,"복수전공이랑 전과,교직이수 모두 1학년 2학기 휴학하면 절대 못하나요?되는거좀 알려주세여..ㅠ",1
18,2019-02-11 0:11,화폐금융론 증원 안해주겟지? ㅇㅇ,1
19,2019-02-11 0:18,이시영이랑 백종원 뭔가 닮은거 같음 그런거 같음,1
20,2019-02-11 0:22,부대 근처에 피부과 추천 부탁드립니다! 여드름때문에 피부가 엉망이되어가는중입니다ㅜㅜㅜ 부산대 근처에 좋은 피부과 있으면 알려주세요!!,1
21,2019-02-11 1:37,바밤바 먹는중 꿀맛,1
22,2019-02-11 2:00,글로벌중국어1 고혜림교수님거있는분 한문 전지원교수님 가튼시간 있는데바꿀사람 쪽디점,1
23,2019-02-11 2:06,토익 학교에서 토익치는거 잇나요? 학기별로 한번씩이라던가,1
24,2019-02-11 2:07,4차 산업혁명 버렸어요~! 필요하신 분 주워가세요,1
25,2019-02-11 2:17,행정학원론 ㄱㅎㅇ 교수님 거 구해봅니당 ㅠㅠㅠ,1
26,2019-02-11 2:26,돼지바 삼행시 돼: 돼지바지: 지금보니바: 바밤바,1
27,2019-02-11 2:40,1학년인데 9학점들을수잇나여 꼭12학점 맞춰야해요?ㅠㅠㅠ,1
28,2019-02-11 2:43,학생증 지금만들수잇낭 2학년인디,1
29,2019-02-11 2:56,9시 스페인어 버릴 사람 없나여.... 아님 1시반 프랑스어 김영주 교수님 있는데 못 바꿀까여...사례드려요ㅠㅠㅠㅠㅠㅠ하,1
30,2019-02-11 3:23,교수미확정된건 언제확정나나요 교수 누군지몰라서 답답... 알아야 시간표를 좀 짤텐데ㅋㅋ..,1
31,2019-02-11 3:32,교직 증원신청 신청서 쓸 때 뭐라고 써야할까요ㅜㅜㅜㅜ,1
32,2019-02-11 3:40,406호프로젝트-어릴적꿈 개좋다,1
33,2019-02-11 3:56,스타2 랜타디할사람,1
34,2019-02-11 3:58,잠이안온다~ 잠이 안와 4시간째 누워있네,1
35,2019-02-11 4:05,부산대생 사랑한다.. 사랑해..,1
36,2019-02-11 6:40,타과 1학년 전공필수 일선으로 열어달라 하면 열러줄까? 도저언..ㅋㅋ,1
37,2019-02-11 7:24,교환학생 교환학생 3차까지 뽑나요?? 기관토플 3차는 언제쯤 일까요 ㅠㅠ,1
38,2019-02-11 8:37,부전 과목 뭐들어야 하는지 나와있는데없어? 그 과홈피엔 없던데 그 과사에 전화해서 물어봐야돼?엄청 귀찮으실거같은데,1
39,2019-02-11 8:38,일선 증원 관광컨벤션학과 전공 일선인원 전화해서 증원해달라거 하면 2차때라도 열어줄까요....?,1
40,2019-02-11 8:42,재정학 화폐금융론 교환하실분ㅜㅜㅜ 나 재정학님 화금론부복전 인원 중에 바꾸실분 계신가요ㅜㅜㅜ싸강 기후변화도 있어요,1
41,2019-02-11 10:44,pnu will이랑 행심이랑 교환하실분 제가 pnu will 수욜 가지고있아요,1
42,2019-02-11 10:52,고분자공학과도 공학인증 받아야 심전가능하죠? ????,1
43,2019-02-11 10:53,시간표 봐주세용 ㅠㅠ 시간표 어떤가요..?여기에 주말 빵집 알바 (오후 6시 ~ 11시) 해도 괜찮겠죠??,1
44,2019-02-11 10:57,주 5일 9-6시 알바 할까 말까... 최저시급임...고민이네...,1
45,2019-02-11 11:03,노동법 버리실분 있나요? 저한테 버려주세요ㅠ법학연구소 개설 금요일 9시수업이요버리실분 제발요 ㅠㅠㅠ😭😭,1
46,2019-02-11 11:03,컴활실기 이제 시작했는데 개강전까지 따려고 하는데함수부분 진쨔 모르겠당 ㅋㅋㅋㅋ하다가 빡쳐서 침대에 누움두시간만 있다가 해야지 호,1
47,2019-02-11 11:08,현대생활과레크레이션 월 수 3시 주세용ㅠㅠ 주세요오ㅠㅠㅠㅠㅠ,1
48,2019-02-11 11:12,"싸강이 월수 9시 이렇게면 예를 들어 이번주 월요일에 9시에 강의 올라오고, 이번주 수요일에도 9시에 강의 올라오면 다음주 월요일수요일 9시 전까지 들으면 출석 인정되는 거 맞지? 싸강이 일주일에 두 번 있는 경우는 첨이라ㅠㅠ",1
49,2019-02-11 11:13,"노트북 추천 부탁드려요 무조건 그램 추천 말고 256SSD, 8기가에 인강, 문서작업만 할거에요 가격은 60~90정도 생각해요 글구 부산대 학생이면 윈도우도 공짜로 설치할 수 있다던데 사실인가요??",1
50,2019-02-11 11:16,화금론 화금론 아무 교수님이나 재정학 계량경제 미시 최병호 교수님 부복전 인원중에 교환하실분 없나요ㅜㅜㅠ,1
51,2019-02-11 11:37,이상철교수님vs허철행교수님 공공정책 친구들아 너네 둘 중 어느 강의 듣기로 했니?ㅠㅠ,1
52,2019-02-11 11:40,과사에 전화해서 한꺼번에 3개 열어달라하면 열러주나여?,1
53,2019-02-11 11:48,파고다 토익 700 새 책 싸게 책방에 올렸으니까 보러오세용!!!⭐,1
